"Title","Size (GB)","Possible FW","Release Date (NA)"
"140","","5.05","September 6, 2016"
"11-11: Memories Retold - WarChild Charity","","6.02","November 9, 2018"
"13 Sentinels: Aegis Rim","","5.05*","September 8, 2020"
"2MD VR Football","","5.53","May 8, 2018"
"39 Days to Mars","0.37","7.00","October 29, 2019"
"3D Billiards","1.35","5.05","December 19, 2017"
"3D Mini Golf","","5.50","March 8, 2018"
"3D MiniGolf","0.80","5.05","August 15, 2017"
"3M SPAIN FOUNDATION - STEM+VR","","7.02","December 18, 2019"
"60 Seconds!","","7.02","March 6, 2020"
"7th Sector","0.79","7.02","February 5, 2020"
"8 to Glory: The Official Game of the PBR","","5.56","July 31, 2018"
"88 Heroes: H8 Mode Activate!","","5.05","October 20, 2017"
"88 Heroes: RSG Champions","","5.05","August 8, 2017"
"8-Bit Adventure Anthology: Volume One","","5.05","October 31, 2017"
"8-Bit Armies","","6.00","September 21, 2018"
"8-Bit Invaders!","2.07","6.20","February 26, 2019"
"911 Operator","","5.05","November 28, 2017"
"A Fold Apart","1.40","7.50","May 19, 2020"
"A Healer Only Lives Twice","","5.05","July 25, 2017"
"A Hole New World","","5.05","September 5, 2017"
"A Pixel Story","0.30","5.05","February 24, 2017"
"A Room Where Art Conceals","","7.02","April 8, 2020"
"A Summer with the Shiba Inu","0.41","7.51","June 24, 2020"
"Abyss: The Wraiths of Eden","1.08","5.05","October 20, 2017"
"ACA NeoGeo - Neo-Geo Cup '98: The Road to Victory","","6.02","November 29, 2018"
"ACA NeoGeo - Pleasure Goal: 5 on 5 Mini Soccer","","6.72","July 23, 2019"
"ACA NeoGeo - Shock Troopers: 2nd Squad","","5.55","June 6, 2018"
"ACA NeoGeo - The Ultimate 11: SNK Football Championship","","6.51","May 29, 2019"
"ACA NeoGeo - Top Hunter: Roddy & Cathy","","5.05","January 8, 2018"
"ACA NeoGeo: 3 Count Bout","","6.71","July 12, 2019"
"ACA NeoGeo: Aero Fighters 2","","5.05","August 3, 2017"
"ACA NeoGeo: Aero Fighters 3","","6.20","January 28, 2019"
"ACA NeoGeo: Aggressors of Dark Kombat","","6.51","April 30, 2019"
"ACA NEOGEO: Alpha Mission II","","5.05","January 10, 2017"
"ACA NeoGeo: Art of Fighting","","5.05","April 20, 2017"
"ACA NeoGeo: Art of Fighting 2","","5.05","August 11, 2017"
"ACA NeoGeo: Art of Fighting 3","","5.56","July 26, 2018"
"ACA NeoGeo: Baseball Stars 2","","6.50","March 22, 2019"
"ACA NeoGeo: Baseball Stars Professional","","6.50","March 14, 2019"
"ACA NeoGeo: Blazing Star","","6.20","January 22, 2019"
"ACA NeoGeo: Blue's Journey","","5.05","September 7, 2017"
"ACA NeoGeo: Burning Fight","","5.05","October 11, 2017"
"ACA NeoGeo: Crossed Swords","","6.51","May 29, 2019"
"ACA NeoGeo: Cyber-Lip","","6.71","July 3, 2019"
"ACA NeoGeo: Fatal Fury","","5.05","January 12, 2017"
"ACA NeoGeo: Fatal Fury 2","","5.05","June 27, 2017"
"ACA NeoGeo: Fatal Fury 3","","5.05","August 31, 2017"
"ACA NeoGeo: Fatal Fury Special","","5.05","July 13, 2017"
"ACA NeoGeo: Football Frenzy","","6.51","May 7, 2019"
"ACA NeoGeo: Galaxy Fight - Universal Warriors","","5.05","April 27, 2017"
"ACA NeoGeo: Ghost Pilots","","5.55","June 8, 2018"
"ACA NeoGeo: Gururin","","5.55","June 8, 2018"
"ACA NeoGeo: Karnov's Revenge","","5.05","December 7, 2017"
"ACA NeoGeo: King of the Monsters","","5.05","July 20, 2017"
"ACA NeoGeo: King of the Monsters 2","","6.72","July 30, 2019"
"ACA NeoGeo: Kizuna Encounter","","6.20","January 10, 2019"
"ACA NeoGeo: Last Resort","","5.05","May 2, 2017"
"ACA NeoGeo: League Bowling","","5.56","July 19, 2018"
"ACA NeoGeo: Magical Drop II","","5.05","June 20, 2017"
"ACA NeoGeo: Magical Drop III","","5.55","June 6, 2018"
"ACA NeoGeo: Magician Lord","","5.05","August 31, 2017"
"ACA NeoGeo: Metal Slug","","5.05","November 28, 2016"
"ACA NeoGeo: Metal Slug 2","","5.05","June 1, 2017"
"ACA NeoGeo: Metal Slug 3","","5.05","December 21, 2017"
"ACA NeoGeo: Metal Slug 4","","6.20","December 19, 2018"
"ACA NeoGeo: Metal Slug 5","","7.02","March 12, 2020"
"ACA NeoGeo: Metal Slug X","","5.05","October 11, 2017"
"ACA NeoGeo: Money Puzzle Exchanger","","6.50","March 12, 2019"
"ACA NeoGeo: Mutation Nation","","5.05","October 27, 2017"
"ACA NeoGeo: NAM-1975","","5.05","March 2, 2017"
"ACA NeoGeo: Neo Turf Masters","","5.05","February 23, 2017"
"ACA NeoGeo: Ninja Combat","","5.55","June 8, 2018"
"ACA NeoGeo: Ninja Commando","","6.51","May 28, 2019"
"ACA NeoGeo: OverTop","","5.05","May 16, 2017"
"ACA NeoGeo: Power Spikes II","","5.05","April 19, 2018"
"ACA NeoGeo: Prehistoric Isle 2","","6.50","March 26, 2019"
"ACA NeoGeo: Pulstar","","5.05","July 10, 2017"
"ACA NeoGeo: Puzzle Bobble","","6.20","January 3, 2019"
"ACA NeoGeo: Puzzle Bobble 2","","6.20","February 7, 2019"
"ACA NeoGeo: Puzzled","","5.05","August 31, 2017"
"ACA NeoGeo: Ragnagard","","6.20","January 3, 2019"
"ACA NeoGeo: Real Bout Fatal Fury","","5.05","October 13, 2017"
"ACA NeoGeo: Real Bout Fatal Fury 2","","6.20","January 30, 2019"
"ACA NeoGeo: Real Bout Fatal Fury Special","","5.05","December 14, 2017"
"ACA NeoGeo: Riding Hero","","6.20","February 5, 2019"
"ACA NeoGeo: Robo Army","","5.05","October 19, 2017"
"ACA NEOGEO: Samurai Shodown","","5.05","December 9, 2016"
"ACA NeoGeo: Samurai Shodown II","","5.05","October 11, 2017"
"ACA NeoGeo: Samurai Shodown III","","5.05","April 19, 2018"
"ACA NeoGeo: Samurai Shodown IV","","5.55","June 8, 2018"
"ACA NeoGeo: Samurai Shodown V","","6.50","March 12, 2019"
"ACA NeoGeo: Savage Reign","","6.71","July 16, 2019"
"ACA NeoGeo: Sengoku","","5.05","March 16, 2017"
"ACA NeoGeo: Sengoku 2","","5.05","June 15, 2017"
"ACA NeoGeo: Sengoku 3","","5.56","June 13, 2018"
"ACA NeoGeo: Shock Troopers","","5.05","January 25, 2018"
"ACA NeoGeo: Soccer Brawl","","5.05","December 7, 2017"
"ACA NeoGeo: SpinMaster","","5.05","September 14, 2017"
"ACA NeoGeo: Stakes Winner","","5.55","June 8, 2018"
"ACA NeoGeo: Stakes Winner 2","","6.51","May 21, 2019"
"ACA NeoGeo: Street Hoop","","5.05","November 9, 2017"
"ACA NeoGeo: Strikers 1945 Plus","","6.71","July 1, 2019"
"ACA NeoGeo: Super Baseball 2020","","5.05","June 29, 2017"
"ACA NeoGeo: Super Sidekicks","","5.05","July 28, 2017"
"ACA NeoGeo: Super Sidekicks 2","","5.55","June 8, 2018"
"ACA NeoGeo: The King of Fighters 2001","","6.50","March 14, 2019"
"ACA NeoGeo: The King of Fighters 2002","","6.50","March 27, 2019"
"ACA NeoGeo: The King of Fighters '94","","5.05","October 27, 2016"
"ACA NeoGeo: The King of Fighters '95","","5.05","May 11, 2017"
"ACA NeoGeo: The King of Fighters '96","","5.05","August 10, 2017"
